id,target
0,0.02887
1,0.03076
2,0.02483
3,0.01705
4,0.03311
5,0.03394
6,0.01732
8,0.02911
10,0.05529
11,0.03368
12,0.03218
14,0.01909
15,0.05728
18,0.05462
21,0.05357
23,0.02830
24,0.02683
25,0.05503
27,0.01829
29,0.04484
30,0.02800
31,0.05600
32,0.03646
33,0.01602
37,0.03224
38,0.04341
39,0.08278
40,0.03408
41,0.03998
42,0.02281
44,0.05081
45,0.02212
47,0.04759
49,0.02520
51,0.04401
52,0.01341
53,0.04792
54,0.05810
55,0.02780
56,0.01828
57,0.05209
59,0.03656
60,0.03753
62,0.03564
63,0.07356
67,0.04315
68,0.01654
69,0.03586
70,0.02220
71,0.03117
73,0.03921
75,0.02173
76,0.01743
81,0.02999
82,0.03149
83,0.03544
86,0.02767
87,0.04962
88,0.05595
91,0.04463
92,0.02670
94,0.03832
97,0.03420
100,0.02592
102,0.03775
103,0.02436
105,0.03965
106,0.05420
108,0.05432
113,0.04081
114,0.03805
115,0.01766
118,0.07512
122,0.02518
124,0.05933
126,0.02827
128,0.05983
129,0.04077
130,0.02273
131,0.01880
132,0.01990
133,0.01995
134,0.03998
135,0.04063
136,0.01689
139,0.02799
140,0.02151
141,0.05138
146,0.03430
148,0.03867
151,0.01966
152,0.05865
154,0.02901
157,0.02602
158,0.01734
159,0.05826
161,0.02075
164,0.01177
165,0.04747
167,0.05033
168,0.03814
169,0.02383
171,0.03901
172,0.06738
173,0.02449
174,0.03672
175,0.03848
176,0.01996
178,0.04747
179,0.01927
180,0.02445
181,0.01484
182,0.08872
183,0.03951
184,0.09262
185,0.03252
187,0.03091
188,0.00749
190,0.02438
191,0.03194
192,0.03703
195,0.04672
196,0.03303
198,0.06231
201,0.03426
202,0.04282
203,0.01322
204,0.03170
207,0.03578
213,0.02465
219,0.01442
220,0.02511
222,0.05172
226,0.01245
228,0.05042
230,0.03806
231,0.02409
232,0.02205
233,0.04821
234,0.01596
236,0.03176
237,0.02024
238,0.07277
240,0.03800
241,0.02061
242,0.04891
243,0.04534
245,0.02059
246,0.02608
247,0.02301
249,0.07505
250,0.01903
251,0.02758
252,0.02100
253,0.01168
254,0.04545
255,0.05686
256,0.03511
257,0.02955
258,0.02271
259,0.05782
260,0.02109
262,0.03237
267,0.01658
268,0.03446
270,0.01424
272,0.01961
273,0.02231
274,0.00752
275,0.04879
276,0.02937
277,0.04510
278,0.06372
279,0.06933
281,0.04626
282,0.02707
283,0.03171
287,0.03106
288,0.06319
289,0.02850
290,0.05527
291,0.03362
292,0.08288
293,0.02934
294,0.03791
295,0.02393
296,0.08769
297,0.05597
298,0.03545
299,0.03995
300,0.06160
303,0.02712
304,0.12666
308,0.01885
314,0.08565
315,0.02122
317,0.03766
318,0.05301
320,0.07521
322,0.04353
323,0.02558
327,0.02325
329,0.03924
331,0.01762
332,0.08711
333,0.05011
334,0.01656
335,0.02839
336,0.06040
337,0.01703
341,0.05160
343,0.01899
345,0.03215
347,0.03804
348,0.04549
349,0.03181
352,0.01342
353,0.01779
354,0.03431
355,0.03415
356,0.03701
357,0.02160
358,0.02369
359,0.02315
361,0.04937
362,0.02353
365,0.06480
366,0.03405
368,0.02755
369,0.02159
371,0.02185
373,0.02431
376,0.03080
377,0.02830
379,0.02445
381,0.03252
382,0.02290
383,0.01705
384,0.02816
385,0.02630
386,0.03836
387,0.03286
388,0.06149
390,0.03140
391,0.02265
392,0.04388
393,0.01703
394,0.02785
396,0.02284
400,0.03638
402,0.02719
403,0.01387
405,0.03086
407,0.03682
409,0.05015
411,0.03299
412,0.03082
414,0.04048
415,0.02475
416,0.02281
418,0.02287
419,0.02057
421,0.02386
422,0.05717
423,0.02653
424,0.03671
426,0.01510
427,0.04342
428,0.02324
436,0.03918
438,0.03682
442,0.02595
443,0.01725
445,0.02267
446,0.02158
447,0.01932
450,0.03921
452,0.02027
453,0.06398
455,0.03003
458,0.04875
459,0.01579
461,0.03494
463,0.01117
467,0.02364
470,0.02246
471,0.03238
472,0.03954
476,0.08779
477,0.01858
481,0.06718
482,0.08278
483,0.06347
485,0.02554
487,0.02895
488,0.02622
490,0.01260
492,0.01830
494,0.04230
497,0.04698
499,0.02041
500,0.03775
501,0.02818
503,0.01852
505,0.02143
506,0.04715
507,0.04924
509,0.05252
510,0.05783
511,0.03113
512,0.01512
514,0.02752
515,0.01821
516,0.01686
517,0.11299
519,0.01738
520,0.02576
521,0.03915
522,0.03037
523,0.07794
527,0.04443
530,0.05936
532,0.02542
534,0.01552
536,0.02236
539,0.02108
543,0.01959
547,0.04808
550,0.06111
551,0.03775
552,0.03192
553,0.02998
555,0.05093
556,0.02693
557,0.02619
558,0.03028
559,0.02807
560,0.02298
561,0.02896
565,0.03137
566,0.02751
567,0.03816
571,0.04944
572,0.03294
