id,target
0,0.03030
1,0.03935
2,0.03973
3,0.01969
4,0.02313
5,0.02230
6,0.03159
8,0.02953
10,0.05470
11,0.02249
12,0.03387
14,0.03311
15,0.04118
18,0.03666
21,0.04833
23,0.04234
24,0.03297
25,0.03209
27,0.05115
29,0.02664
30,0.04178
31,0.03251
32,0.06466
33,0.03865
37,0.01670
38,0.03646
39,0.04960
40,0.03027
41,0.04387
42,0.02867
44,0.02673
45,0.03487
47,0.03048
49,0.02930
51,0.03960
52,0.02507
53,0.03516
54,0.05406
55,0.03716
56,0.03633
57,0.06244
59,0.05665
60,0.04315
62,0.02263
63,0.06717
67,0.03875
68,0.02346
69,0.04965
70,0.03692
71,0.04806
73,0.03321
75,0.04800
76,0.03192
81,0.01465
82,0.03765
83,0.02953
86,0.02292
87,0.03485
88,0.01556
91,0.05077
92,0.03463
94,0.02525
97,0.03747
100,0.03696
102,0.04329
103,0.03225
105,0.03795
106,0.06701
108,0.03769
113,0.05956
114,0.03413
115,0.02851
118,0.05026
122,0.02464
124,0.02531
126,0.03557
128,0.03556
129,0.03532
130,0.03981
131,0.04812
132,0.04540
133,0.02520
134,0.04745
135,0.05023
136,0.02841
139,0.02403
140,0.04179
141,0.04456
146,0.03115
148,0.02841
151,0.02392
152,0.04069
154,0.02962
157,0.03622
158,0.02382
159,0.05264
161,0.04062
164,0.03190
165,0.05280
167,0.03389
168,0.04856
169,0.03708
171,0.04283
172,0.03769
173,0.02280
174,0.03512
175,0.04137
176,0.04190
178,0.03873
179,0.02835
180,0.02433
181,0.01526
182,0.04829
183,0.03391
184,0.05808
185,0.02726
187,0.02558
188,0.02786
190,0.03305
191,0.03143
192,0.05453
195,0.03422
196,0.04836
198,0.04071
201,0.03261
202,0.04121
203,0.03601
204,0.02978
207,0.03323
213,0.05570
219,0.02717
220,0.03505
222,0.05785
226,0.03049
228,0.05477
230,0.03907
231,0.03555
232,0.04613
233,0.04049
234,0.01691
236,0.04813
237,0.03032
238,0.05622
240,0.03987
241,0.02512
242,0.04272
243,0.03189
245,0.02971
246,0.05746
247,0.02555
249,0.04273
250,0.04139
251,0.02440
252,0.04208
253,0.02025
254,0.03001
255,0.06139
256,0.04673
257,0.03161
258,0.04664
259,0.06919
260,0.01417
262,0.02493
267,0.03398
268,0.02778
270,0.02250
272,0.04477
273,0.03127
274,0.04431
275,0.04675
276,0.03071
277,0.03067
278,0.04713
279,0.05023
281,0.04529
282,0.03295
283,0.04940
287,0.02887
288,0.03562
289,0.04472
290,0.03197
291,0.04066
292,0.06508
293,0.03618
294,0.03005
295,0.02772
296,0.06304
297,0.03020
298,0.03361
299,0.05173
300,0.04968
303,0.04803
304,0.03978
308,0.02532
314,0.05570
315,0.03551
317,0.03021
318,0.05429
320,0.04781
322,0.04765
323,0.04680
327,0.04469
329,0.05066
331,0.02960
332,0.06074
333,0.05503
334,0.02757
335,0.02205
336,0.03654
337,0.04804
341,0.04879
343,0.02971
345,0.04197
347,0.02505
348,0.02795
349,0.03177
352,0.03598
353,0.02414
354,0.04392
355,0.02822
356,0.05165
357,0.04047
358,0.02961
359,0.03159
361,0.02850
362,0.04387
365,0.03555
366,0.04207
368,0.03450
369,0.03228
371,0.02422
373,0.03320
376,0.01848
377,0.05239
379,0.02204
381,0.03142
382,0.04175
383,0.03970
384,0.03560
385,0.04846
386,0.04691
387,0.03603
388,0.05310
390,0.04472
391,0.03544
392,0.03610
393,0.04971
394,0.04105
396,0.04605
400,0.02769
402,0.05685
403,0.02893
405,0.02729
407,0.04235
409,0.04581
411,0.03185
412,0.03000
414,0.07001
415,0.03458
416,0.01319
418,0.03236
419,0.03706
421,0.01984
422,0.04532
423,0.04488
424,0.04785
426,0.02086
427,0.06016
428,0.03672
436,0.03474
438,0.03676
442,0.03522
443,0.03161
445,0.03051
446,0.03181
447,0.02467
450,0.04153
452,0.03285
453,0.04719
455,0.03739
458,0.06130
459,0.02427
461,0.03936
463,0.01780
467,0.05957
470,0.03979
471,0.04536
472,0.02387
476,0.04904
477,0.03451
481,0.03395
482,0.04104
483,0.04580
485,0.03944
487,0.03747
488,0.03057
490,0.04235
492,0.03801
494,0.04527
497,0.04727
499,0.04423
500,0.04361
501,0.03184
503,0.03116
505,0.02685
506,0.03820
507,0.04523
509,0.05150
510,0.04053
511,0.04800
512,0.03014
514,0.04216
515,0.02078
516,0.03130
517,0.05836
519,0.03919
520,0.04710
521,0.02703
522,0.03232
523,0.03393
527,0.04602
530,0.04602
532,0.02732
534,0.02499
536,0.04590
539,0.02873
543,0.02596
547,0.04507
550,0.03099
551,0.03962
552,0.03323
553,0.05417
555,0.03016
556,0.04107
557,0.03104
558,0.04219
559,0.02939
560,0.03560
561,0.03503
565,0.03427
566,0.03278
567,0.04202
571,0.03164
572,0.03777
574,0.02757
575,0.03124
576,0.04989
577,0.04896
578,0.03146
579,0.04339
581,0.00564
587,0.02938
589,0.03477
590,0.06398
591,0.03514
592,0.04390
593,0.03253
594,0.06519
595,0.05604
596,0.01654
597,0.03032
598,0.05661
600,0.02795
602,0.01669
605,0.03094
606,0.04287
607,0.04248
